Unnamed: 0,Korean,English
0,내가,I
2,난,I am
3,내,my
4,안,not
5,수,number
7,네,yes
8,거야,going to be
9,좀,a little
10,그래,okay
11,있어,there is
15,우리,we
16,한,one
18,잘,well
19,어떻게,how
20,할,will do
21,그냥,just
22,정말,really
23,그럼,then
25,있어요,there is
26,있는,present
27,해,sun
28,여기,here
29,넌,you
30,제가,I am
31,날,me
32,건,case
33,전,jeon
34,이제,now
35,지금,now
36,그게,that is
37,걸,girl
39,아니,no
41,돼,ok
42,저,I
43,우린,We
44,제,my
45,못,pond
46,좋아,good
47,당신이,you
48,다른,different
49,나,me
50,그런,that
51,그건,that
52,너무,too
53,그렇게,like that
54,다시,again
55,이런,this
56,모든,every
57,당신,you
59,당신은,you are
60,아,ah
61,좋은,good
62,오,oh
63,때,at the time
64,너,you
67,아냐,no
69,아니야,no
70,알아,know
71,같이,together
72,응,huh
73,이게,this
74,없어요,no
75,오늘,today
76,말이야,I mean
77,줄,line
78,또,also
79,널,you
80,누가,who
81,어떤,which
83,말,word
85,안돼,no
86,진짜,really
87,모두,every
88,마,mind
90,여기서,here
